id,label,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_in_sequence,sequence_length
seq2667,A_only,141.0,,,15,150
seq2668,no_motif,,,,15,150
seq2669,both,16.0,67.0,40.0,12,150
seq2670,both,98.0,136.0,30.0,11,150
seq2671,both,35.0,122.0,80.0,0,150
seq2672,B_only,,61.0,,0,150
seq2673,A_only,5.0,,,14,150
seq2674,B_only,,67.0,,13,150
seq2675,both,0.0,27.0,20.0,0,150
seq2676,no_motif,,,,15,150
seq2677,A_only,67.0,,,0,150
seq2678,both,21.0,136.0,100.0,11,150
seq2679,no_motif,,,,15,150
seq2680,B_only,,32.0,,14,150
seq2681,both,30.0,114.0,70.0,12,150
seq2682,no_motif,,,,15,150
seq2683,no_motif,,,,15,150
seq2684,both,27.0,110.0,70.0,11,150
seq2685,B_only,,124.0,,13,150
seq2686,no_motif,,,,0,150
seq2687,A_only,82.0,,,14,150
seq2688,B_only,,40.0,,0,150
seq2689,both,75.0,122.0,40.0,0,150
seq2690,both,20.0,89.0,60.0,9,150
seq2691,A_only,11.0,,,0,150
seq2692,A_only,105.0,,,0,150
seq2693,no_motif,,,,0,150
seq2694,both,49.0,116.0,60.0,0,150
seq2695,both,40.0,138.0,90.0,6,150
seq2696,A_only,131.0,,,14,150
seq2697,no_motif,,,,15,150
seq2698,both,32.0,113.0,70.0,10,150
seq2699,A_only,18.0,,,13,150
seq2700,B_only,,108.0,,13,150
seq2701,both,9.0,26.0,10.0,0,150
seq2702,A_only,125.0,,,13,150
seq2703,both,11.0,108.0,90.0,0,150
seq2704,both,41.0,138.0,90.0,0,150
seq2705,no_motif,,,,15,150
seq2706,both,14.0,115.0,90.0,7,150
seq2707,both,16.0,97.0,70.0,9,150
seq2708,B_only,,124.0,,13,150
seq2709,both,86.0,125.0,30.0,11,150
seq2710,both,41.0,101.0,50.0,11,150
seq2711,both,113.0,142.0,20.0,14,150
seq2712,A_only,105.0,,,13,150
seq2713,both,49.0,99.0,40.0,11,150
seq2714,both,45.0,136.0,80.0,9,150
seq2715,A_only,125.0,,,0,150
seq2716,both,63.0,124.0,50.0,11,150
seq2717,both,103.0,121.0,10.0,13,150
seq2718,both,8.0,47.0,30.0,12,150
seq2719,B_only,,24.0,,13,150
seq2720,A_only,90.0,,,14,150
seq2721,A_only,80.0,,,14,150
seq2722,no_motif,,,,15,150
seq2723,A_only,105.0,,,13,150
seq2724,both,17.0,94.0,70.0,0,150
seq2725,B_only,,45.0,,13,150
seq2726,B_only,,138.0,,14,150
seq2727,A_only,83.0,,,14,150
seq2728,both,37.0,86.0,40.0,10,150
seq2729,no_motif,,,,15,150
seq2730,both,81.0,118.0,30.0,0,150
seq2731,B_only,,72.0,,14,150
seq2732,both,17.0,54.0,30.0,0,150
seq2733,both,61.0,133.0,60.0,12,150
seq2734,both,26.0,63.0,30.0,0,150
seq2735,A_only,93.0,,,14,150
seq2736,both,7.0,36.0,20.0,13,150
seq2737,A_only,90.0,,,14,150
seq2738,A_only,78.0,,,13,150
seq2739,A_only,113.0,,,14,150
seq2740,B_only,,70.0,,14,150
seq2741,both,92.0,110.0,10.0,13,150
seq2742,both,51.0,130.0,70.0,8,150
seq2743,A_only,96.0,,,0,150
seq2744,both,7.0,90.0,70.0,12,150
seq2745,no_motif,,,,0,150
seq2746,A_only,84.0,,,13,150
seq2747,both,89.0,139.0,40.0,12,150
seq2748,no_motif,,,,15,150
seq2749,A_only,43.0,,,14,150
seq2750,B_only,,129.0,,0,150
seq2751,both,62.0,139.0,70.0,0,150
seq2752,both,19.0,128.0,100.0,4,150
seq2753,A_only,45.0,,,0,150
seq2754,A_only,33.0,,,14,150
seq2755,B_only,,79.0,,13,150
seq2756,B_only,,19.0,,13,150
seq2757,A_only,81.0,,,0,150
seq2758,A_only,70.0,,,14,150
seq2759,A_only,73.0,,,14,150
seq2760,B_only,,79.0,,0,150
seq2761,B_only,,70.0,,14,150
seq2762,A_only,82.0,,,14,150
seq2763,B_only,,88.0,,13,150
seq2764,both,13.0,60.0,40.0,0,150
seq2765,both,22.0,61.0,30.0,12,150
seq2766,A_only,125.0,,,13,150
seq2767,no_motif,,,,15,150
seq2768,A_only,42.0,,,0,150
seq2769,B_only,,122.0,,14,150
seq2770,A_only,8.0,,,0,150
seq2771,A_only,0.0,,,14,150
seq2772,A_only,18.0,,,13,150
seq2773,A_only,17.0,,,13,150
seq2774,no_motif,,,,0,150
seq2775,both,9.0,96.0,80.0,0,150
seq2776,no_motif,,,,15,150
seq2777,no_motif,,,,15,150
seq2778,B_only,,11.0,,14,150
seq2779,both,68.0,135.0,60.0,0,150
seq2780,no_motif,,,,15,150
seq2781,A_only,140.0,,,15,150
seq2782,A_only,62.0,,,14,150
seq2783,both,19.0,96.0,70.0,0,150
seq2784,both,95.0,124.0,20.0,12,150
seq2785,both,16.0,77.0,50.0,11,150
seq2786,B_only,,59.0,,13,150
seq2787,no_motif,,,,15,150
seq2788,both,27.0,56.0,20.0,12,150
seq2789,B_only,,112.0,,14,150
seq2790,A_only,78.0,,,13,150
seq2791,both,61.0,129.0,60.0,8,150
seq2792,B_only,,29.0,,13,150
seq2793,both,28.0,142.0,100.0,10,150
seq2794,A_only,15.0,,,13,150
seq2795,both,68.0,86.0,10.0,12,150
seq2796,both,22.0,112.0,80.0,8,150
seq2797,A_only,91.0,,,14,150
seq2798,A_only,89.0,,,0,150
seq2799,A_only,119.0,,,13,150
seq2800,both,2.0,82.0,70.0,10,150
seq2801,both,32.0,60.0,20.0,12,150
seq2802,no_motif,,,,0,150
seq2803,both,8.0,117.0,100.0,5,150
seq2804,A_only,39.0,,,13,150
seq2805,both,44.0,71.0,20.0,0,150
seq2806,B_only,,89.0,,0,150
seq2807,A_only,84.0,,,13,150
seq2808,A_only,42.0,,,0,150
seq2809,no_motif,,,,15,150
seq2810,no_motif,,,,15,150
seq2811,both,22.0,82.0,50.0,11,150
seq2812,no_motif,,,,15,150
seq2813,both,109.0,137.0,20.0,12,150
seq2814,both,23.0,73.0,40.0,12,150
seq2815,both,13.0,91.0,70.0,7,150
seq2816,both,20.0,100.0,70.0,9,150
seq2817,A_only,92.0,,,14,150
seq2818,A_only,77.0,,,13,150
seq2819,both,55.0,132.0,70.0,0,150
seq2820,both,38.0,140.0,90.0,9,150
seq2821,B_only,,106.0,,13,150
seq2822,B_only,,40.0,,14,150
seq2823,both,1.0,19.0,10.0,14,150
seq2824,no_motif,,,,0,150
seq2825,both,58.0,109.0,40.0,12,150
seq2826,B_only,,111.0,,0,150
seq2827,both,46.0,103.0,50.0,0,150
seq2828,B_only,,57.0,,13,150
seq2829,no_motif,,,,0,150
seq2830,no_motif,,,,15,150
seq2831,both,16.0,123.0,100.0,0,150
seq2832,both,20.0,58.0,30.0,11,150
seq2833,both,82.0,132.0,40.0,12,150
seq2834,A_only,20.0,,,14,150
seq2835,B_only,,101.0,,14,150
seq2836,A_only,41.0,,,14,150
seq2837,both,84.0,102.0,10.0,13,150
seq2838,both,26.0,77.0,40.0,12,150
seq2839,both,2.0,111.0,100.0,6,150
seq2840,B_only,,13.0,,14,150
seq2841,A_only,23.0,,,14,150
seq2842,both,37.0,55.0,10.0,12,150
seq2843,B_only,,86.0,,13,150
seq2844,both,16.0,93.0,70.0,0,150
seq2845,both,79.0,97.0,10.0,12,150
seq2846,A_only,103.0,,,0,150
seq2847,both,1.0,30.0,20.0,14,150
seq2848,both,3.0,120.0,100.0,13,150
seq2849,both,24.0,42.0,10.0,13,150
seq2850,A_only,120.0,,,0,150
seq2851,A_only,83.0,,,0,150
seq2852,no_motif,,,,15,150
seq2853,A_only,103.0,,,14,150
seq2854,B_only,,102.0,,14,150
seq2855,B_only,,113.0,,14,150
seq2856,both,44.0,126.0,70.0,10,150
seq2857,A_only,36.0,,,13,150
seq2858,both,93.0,122.0,20.0,13,150
seq2859,no_motif,,,,0,150
seq2860,A_only,90.0,,,14,150
seq2861,A_only,128.0,,,13,150
seq2862,both,2.0,102.0,90.0,8,150
seq2863,both,3.0,87.0,70.0,13,150
seq2864,both,21.0,68.0,40.0,0,150
seq2865,B_only,,141.0,,15,150
seq2866,both,76.0,126.0,40.0,11,150
seq2867,both,125.0,143.0,10.0,13,150
seq2868,no_motif,,,,15,150
seq2869,A_only,136.0,,,14,150
seq2870,B_only,,140.0,,15,150
seq2871,A_only,30.0,,,14,150
seq2872,B_only,,85.0,,13,150
seq2873,both,67.0,140.0,60.0,13,150
seq2874,both,21.0,122.0,90.0,8,150
seq2875,no_motif,,,,0,150
seq2876,both,118.0,136.0,10.0,13,150
seq2877,A_only,143.0,,,0,150
seq2878,A_only,69.0,,,13,150
seq2879,both,15.0,131.0,100.0,11,150
seq2880,both,23.0,126.0,90.0,9,150
seq2881,B_only,,13.0,,0,150
seq2882,both,30.0,48.0,10.0,13,150
seq2883,B_only,,64.0,,13,150
seq2884,both,96.0,133.0,30.0,0,150
seq2885,B_only,,108.0,,13,150
seq2886,A_only,54.0,,,0,150
seq2887,both,4.0,53.0,40.0,12,150
seq2888,A_only,40.0,,,14,150
seq2889,A_only,94.0,,,13,150
seq2890,both,23.0,101.0,70.0,7,150
seq2891,both,112.0,130.0,10.0,13,150
seq2892,both,2.0,30.0,20.0,13,150
seq2893,A_only,136.0,,,14,150
seq2894,both,3.0,92.0,80.0,8,150
seq2895,A_only,103.0,,,14,150
seq2896,B_only,,121.0,,0,150
seq2897,A_only,114.0,,,0,150
seq2898,B_only,,39.0,,0,150
seq2899,both,12.0,30.0,10.0,13,150
seq2900,B_only,,107.0,,0,150
seq2901,no_motif,,,,15,150
seq2902,B_only,,14.0,,13,150
seq2903,A_only,3.0,,,0,150
seq2904,both,8.0,35.0,20.0,0,150
seq2905,B_only,,3.0,,15,150
seq2906,B_only,,27.0,,0,150
seq2907,B_only,,2.0,,15,150
seq2908,no_motif,,,,15,150
seq2909,A_only,107.0,,,0,150
seq2910,B_only,,139.0,,14,150
seq2911,B_only,,85.0,,13,150
seq2912,B_only,,21.0,,0,150
seq2913,A_only,124.0,,,0,150
seq2914,A_only,124.0,,,0,150
seq2915,B_only,,36.0,,13,150
seq2916,A_only,107.0,,,0,150
seq2917,both,34.0,135.0,90.0,8,150
seq2918,A_only,98.0,,,13,150
seq2919,both,1.0,84.0,70.0,12,150
seq2920,no_motif,,,,0,150
seq2921,both,72.0,123.0,40.0,13,150
seq2922,B_only,,66.0,,13,150
seq2923,both,23.0,120.0,90.0,0,150
seq2924,B_only,,43.0,,14,150
seq2925,A_only,35.0,,,13,150
seq2926,B_only,,66.0,,13,150
seq2927,A_only,5.0,,,14,150
seq2928,A_only,120.0,,,14,150
seq2929,A_only,116.0,,,13,150
seq2930,A_only,9.0,,,14,150
seq2931,both,15.0,54.0,30.0,11,150
seq2932,no_motif,,,,0,150
seq2933,no_motif,,,,15,150
seq2934,A_only,37.0,,,13,150
seq2935,A_only,18.0,,,13,150
seq2936,B_only,,2.0,,15,150
seq2937,A_only,74.0,,,13,150
seq2938,B_only,,125.0,,0,150
seq2939,both,20.0,69.0,40.0,11,150
seq2940,both,29.0,143.0,100.0,9,150
seq2941,both,47.0,129.0,70.0,10,150
seq2942,A_only,29.0,,,0,150
seq2943,A_only,36.0,,,13,150
seq2944,B_only,,47.0,,0,150
seq2945,both,40.0,68.0,20.0,12,150
seq2946,both,13.0,104.0,80.0,8,150
seq2947,A_only,71.0,,,14,150
seq2948,A_only,32.0,,,14,150
seq2949,both,9.0,96.0,80.0,0,150
seq2950,A_only,61.0,,,14,150
seq2951,both,12.0,121.0,100.0,5,150
seq2952,B_only,,60.0,,14,150
seq2953,both,70.0,141.0,60.0,12,150
seq2954,B_only,,112.0,,14,150
seq2955,A_only,33.0,,,14,150
seq2956,B_only,,113.0,,14,150
seq2957,B_only,,69.0,,0,150
seq2958,A_only,47.0,,,13,150
seq2959,both,77.0,139.0,50.0,13,150
seq2960,B_only,,105.0,,13,150
seq2961,A_only,6.0,,,14,150
seq2962,A_only,41.0,,,0,150
seq2963,A_only,70.0,,,14,150
seq2964,both,52.0,134.0,70.0,11,150
seq2965,both,33.0,106.0,60.0,12,150
seq2966,A_only,76.0,,,13,150
seq2967,B_only,,92.0,,0,150
seq2968,both,16.0,63.0,40.0,0,150
seq2969,A_only,34.0,,,0,150
seq2970,both,2.0,104.0,90.0,9,150
seq2971,both,10.0,38.0,20.0,12,150
seq2972,A_only,9.0,,,14,150
seq2973,A_only,9.0,,,14,150
seq2974,A_only,48.0,,,0,150
seq2975,A_only,129.0,,,13,150
seq2976,both,39.0,142.0,90.0,10,150
seq2977,both,41.0,90.0,40.0,11,150
seq2978,both,81.0,119.0,30.0,11,150
seq2979,both,23.0,132.0,100.0,5,150
seq2980,both,23.0,63.0,30.0,13,150
seq2981,A_only,23.0,,,14,150
seq2982,A_only,106.0,,,13,150
seq2983,both,84.0,131.0,40.0,0,150
seq2984,both,21.0,39.0,10.0,13,150
seq2985,no_motif,,,,15,150
seq2986,both,1.0,84.0,70.0,12,150
seq2987,both,49.0,76.0,20.0,0,150
seq2988,A_only,83.0,,,14,150
seq2989,A_only,47.0,,,13,150
seq2990,both,49.0,126.0,70.0,0,150
seq2991,no_motif,,,,15,150
seq2992,both,31.0,81.0,40.0,12,150
seq2993,B_only,,24.0,,13,150
seq2994,no_motif,,,,15,150
seq2995,no_motif,,,,15,150
seq2996,both,16.0,121.0,90.0,11,150
seq2997,B_only,,75.0,,0,150
seq2998,no_motif,,,,15,150
seq2999,no_motif,,,,15,150
seq3000,both,38.0,108.0,60.0,9,150
seq3001,B_only,,95.0,,13,150
seq3002,A_only,78.0,,,0,150
seq3003,both,63.0,133.0,60.0,10,150
seq3004,A_only,73.0,,,14,150
seq3005,A_only,18.0,,,13,150
seq3006,B_only,,53.0,,14,150
seq3007,both,20.0,123.0,90.0,10,150
seq3008,B_only,,120.0,,14,150
seq3009,B_only,,3.0,,15,150
seq3010,both,44.0,116.0,60.0,11,150
seq3011,both,92.0,141.0,40.0,12,150
seq3012,A_only,13.0,,,14,150
seq3013,no_motif,,,,15,150
seq3014,no_motif,,,,15,150
seq3015,no_motif,,,,15,150
seq3016,both,7.0,108.0,90.0,8,150
seq3017,both,1.0,91.0,80.0,9,150
seq3018,both,46.0,114.0,60.0,7,150
seq3019,B_only,,8.0,,14,150
seq3020,both,111.0,128.0,10.0,0,150
seq3021,B_only,,96.0,,13,150
seq3022,both,3.0,115.0,100.0,8,150
seq3023,both,77.0,95.0,10.0,12,150
seq3024,no_motif,,,,0,150
seq3025,A_only,106.0,,,0,150
seq3026,no_motif,,,,15,150
seq3027,A_only,42.0,,,0,150
seq3028,both,32.0,99.0,60.0,0,150
seq3029,no_motif,,,,0,150
seq3030,A_only,43.0,,,14,150
seq3031,both,39.0,116.0,70.0,0,150
seq3032,A_only,59.0,,,13,150
seq3033,A_only,92.0,,,14,150
seq3034,both,67.0,107.0,30.0,12,150
seq3035,no_motif,,,,15,150
seq3036,A_only,15.0,,,0,150
seq3037,both,61.0,142.0,70.0,11,150
seq3038,no_motif,,,,15,150
seq3039,A_only,136.0,,,14,150
seq3040,B_only,,108.0,,13,150
seq3041,both,39.0,136.0,90.0,0,150
seq3042,A_only,138.0,,,14,150
seq3043,B_only,,138.0,,0,150
seq3044,both,62.0,80.0,10.0,13,150
seq3045,no_motif,,,,0,150
seq3046,B_only,,53.0,,14,150
seq3047,both,16.0,118.0,90.0,8,150
seq3048,both,9.0,88.0,70.0,8,150
seq3049,A_only,40.0,,,0,150
seq3050,both,94.0,112.0,10.0,13,150
seq3051,B_only,,28.0,,0,150
seq3052,both,20.0,81.0,50.0,12,150
seq3053,B_only,,137.0,,14,150
seq3054,B_only,,84.0,,13,150
seq3055,A_only,59.0,,,13,150
seq3056,both,7.0,94.0,80.0,0,150
seq3057,B_only,,127.0,,13,150
seq3058,B_only,,69.0,,0,150
seq3059,both,73.0,101.0,20.0,12,150
seq3060,A_only,64.0,,,0,150
seq3061,A_only,99.0,,,0,150
seq3062,no_motif,,,,15,150
seq3063,both,31.0,133.0,90.0,9,150
seq3064,both,15.0,72.0,50.0,0,150
seq3065,both,51.0,69.0,10.0,13,150
seq3066,both,5.0,52.0,40.0,0,150
seq3067,A_only,56.0,,,13,150
seq3068,A_only,86.0,,,13,150
seq3069,both,46.0,135.0,80.0,7,150
seq3070,both,63.0,81.0,10.0,13,150
seq3071,no_motif,,,,15,150
seq3072,both,88.0,138.0,40.0,12,150
seq3073,no_motif,,,,15,150
seq3074,both,39.0,130.0,80.0,8,150
seq3075,B_only,,7.0,,14,150
seq3076,both,86.0,125.0,30.0,11,150
seq3077,B_only,,78.0,,13,150
seq3078,B_only,,43.0,,14,150
seq3079,A_only,130.0,,,14,150
seq3080,B_only,,77.0,,13,150
seq3081,both,35.0,124.0,80.0,6,150
seq3082,both,19.0,66.0,40.0,0,150
seq3083,both,3.0,42.0,30.0,13,150
seq3084,both,70.0,107.0,30.0,0,150
seq3085,B_only,,133.0,,14,150
seq3086,B_only,,46.0,,13,150
seq3087,A_only,102.0,,,14,150
seq3088,A_only,52.0,,,0,150
seq3089,both,4.0,91.0,80.0,0,150
seq3090,A_only,139.0,,,14,150
seq3091,B_only,,13.0,,14,150
seq3092,both,84.0,133.0,40.0,11,150
seq3093,no_motif,,,,15,150
seq3094,both,10.0,94.0,70.0,12,150
seq3095,B_only,,29.0,,13,150
seq3096,B_only,,37.0,,13,150
seq3097,B_only,,28.0,,13,150
seq3098,B_only,,65.0,,13,150
seq3099,both,44.0,101.0,50.0,0,150
seq3100,both,14.0,86.0,60.0,11,150
seq3101,A_only,103.0,,,14,150
seq3102,no_motif,,,,15,150
seq3103,B_only,,3.0,,15,150
seq3104,A_only,124.0,,,13,150
seq3105,A_only,108.0,,,13,150
seq3106,no_motif,,,,15,150
seq3107,A_only,45.0,,,13,150
seq3108,A_only,110.0,,,14,150
seq3109,A_only,36.0,,,13,150
seq3110,both,13.0,106.0,80.0,10,150
seq3111,B_only,,43.0,,14,150
seq3112,A_only,38.0,,,13,150
seq3113,both,93.0,121.0,20.0,12,150
seq3114,no_motif,,,,15,150
seq3115,both,10.0,80.0,60.0,10,150
seq3116,both,40.0,124.0,70.0,12,150
seq3117,both,88.0,126.0,30.0,10,150
seq3118,no_motif,,,,0,150
seq3119,no_motif,,,,15,150
seq3120,A_only,89.0,,,0,150
seq3121,A_only,75.0,,,13,150
seq3122,B_only,,61.0,,14,150
seq3123,B_only,,139.0,,14,150
seq3124,A_only,61.0,,,14,150
seq3125,both,35.0,135.0,90.0,7,150
seq3126,no_motif,,,,15,150
seq3127,B_only,,137.0,,14,150
seq3128,no_motif,,,,0,150
seq3129,B_only,,7.0,,14,150
seq3130,A_only,31.0,,,14,150
seq3131,both,79.0,140.0,50.0,12,150
seq3132,A_only,94.0,,,0,150
seq3133,A_only,45.0,,,0,150
seq3134,A_only,78.0,,,13,150
seq3135,A_only,59.0,,,0,150
seq3136,both,55.0,102.0,40.0,0,150
seq3137,B_only,,54.0,,13,150
seq3138,both,2.0,96.0,80.0,12,150
seq3139,both,23.0,100.0,70.0,0,150
seq3140,both,0.0,116.0,100.0,11,150
seq3141,B_only,,137.0,,14,150
seq3142,both,17.0,112.0,80.0,12,150
seq3143,both,9.0,92.0,70.0,12,150
seq3144,no_motif,,,,15,150
seq3145,both,40.0,121.0,70.0,10,150
seq3146,both,27.0,120.0,80.0,10,150
seq3147,A_only,66.0,,,13,150
seq3148,both,84.0,123.0,30.0,12,150
seq3149,no_motif,,,,0,150
seq3150,A_only,28.0,,,13,150
seq3151,both,22.0,120.0,90.0,5,150
seq3152,both,30.0,113.0,70.0,12,150
seq3153,both,47.0,124.0,70.0,0,150
seq3154,A_only,84.0,,,13,150
seq3155,B_only,,122.0,,14,150
seq3156,both,5.0,116.0,100.0,7,150
seq3157,both,12.0,122.0,100.0,6,150
seq3158,no_motif,,,,15,150
seq3159,A_only,20.0,,,14,150
seq3160,no_motif,,,,15,150
seq3161,A_only,25.0,,,0,150
seq3162,A_only,15.0,,,13,150
seq3163,both,34.0,143.0,100.0,5,150
seq3164,A_only,96.0,,,13,150
seq3165,A_only,95.0,,,13,150
seq3166,A_only,89.0,,,13,150
seq3167,no_motif,,,,0,150
seq3168,both,20.0,89.0,60.0,9,150
seq3169,both,78.0,96.0,10.0,12,150
seq3170,no_motif,,,,15,150
seq3171,A_only,99.0,,,13,150
seq3172,both,24.0,83.0,50.0,10,150
seq3173,B_only,,46.0,,13,150
seq3174,A_only,55.0,,,0,150
seq3175,B_only,,138.0,,0,150
seq3176,both,15.0,104.0,80.0,6,150
seq3177,both,35.0,53.0,10.0,13,150
seq3178,both,63.0,130.0,60.0,0,150
seq3179,both,27.0,87.0,50.0,10,150
seq3180,A_only,50.0,,,14,150
seq3181,A_only,107.0,,,13,150
seq3182,both,32.0,60.0,20.0,12,150
seq3183,B_only,,56.0,,0,150
seq3184,both,49.0,119.0,60.0,9,150
seq3185,both,6.0,93.0,80.0,0,150
seq3186,A_only,112.0,,,0,150
seq3187,both,52.0,110.0,50.0,9,150
seq3188,B_only,,90.0,,14,150
seq3189,B_only,,141.0,,15,150
seq3190,A_only,113.0,,,0,150
seq3191,A_only,76.0,,,13,150
seq3192,A_only,57.0,,,13,150
seq3193,B_only,,127.0,,13,150
seq3194,A_only,106.0,,,13,150
seq3195,A_only,75.0,,,13,150
seq3196,both,16.0,33.0,10.0,0,150
seq3197,B_only,,86.0,,13,150
seq3198,B_only,,94.0,,13,150
seq3199,both,80.0,97.0,10.0,0,150
seq3200,no_motif,,,,15,150
seq3201,both,0.0,97.0,90.0,0,150
seq3202,A_only,26.0,,,0,150
seq3203,B_only,,118.0,,13,150
seq3204,B_only,,102.0,,0,150
seq3205,no_motif,,,,15,150
seq3206,no_motif,,,,15,150
seq3207,B_only,,65.0,,13,150
seq3208,B_only,,129.0,,13,150
seq3209,A_only,115.0,,,13,150
seq3210,B_only,,67.0,,13,150
seq3211,A_only,59.0,,,13,150
seq3212,A_only,25.0,,,13,150
seq3213,no_motif,,,,15,150
seq3214,A_only,16.0,,,13,150
seq3215,no_motif,,,,0,150
seq3216,no_motif,,,,15,150
seq3217,B_only,,56.0,,13,150
seq3218,A_only,87.0,,,13,150
seq3219,both,36.0,134.0,90.0,5,150
seq3220,B_only,,135.0,,14,150
seq3221,both,1.0,72.0,60.0,12,150
seq3222,A_only,114.0,,,13,150
seq3223,A_only,9.0,,,14,150
seq3224,A_only,86.0,,,13,150
seq3225,no_motif,,,,15,150
seq3226,both,25.0,98.0,60.0,12,150
seq3227,both,74.0,136.0,50.0,13,150
seq3228,no_motif,,,,15,150
seq3229,B_only,,72.0,,14,150
seq3230,A_only,1.0,,,15,150
seq3231,A_only,74.0,,,13,150
seq3232,A_only,126.0,,,0,150
seq3233,A_only,79.0,,,13,150
seq3234,both,102.0,130.0,20.0,12,150
seq3235,both,53.0,80.0,20.0,0,150
seq3236,A_only,21.0,,,14,150
seq3237,B_only,,127.0,,13,150
seq3238,A_only,65.0,,,13,150
seq3239,A_only,23.0,,,14,150
seq3240,A_only,31.0,,,0,150
seq3241,B_only,,109.0,,13,150
seq3242,both,111.0,139.0,20.0,13,150
seq3243,A_only,36.0,,,13,150
seq3244,both,11.0,60.0,40.0,11,150
seq3245,both,34.0,139.0,90.0,12,150
seq3246,B_only,,60.0,,14,150
seq3247,both,35.0,63.0,20.0,12,150
seq3248,both,51.0,80.0,20.0,13,150
seq3249,no_motif,,,,0,150
seq3250,no_motif,,,,0,150
seq3251,both,112.0,139.0,20.0,0,150
seq3252,B_only,,124.0,,13,150
seq3253,B_only,,47.0,,13,150
seq3254,both,25.0,112.0,80.0,0,150
seq3255,no_motif,,,,15,150
seq3256,B_only,,33.0,,14,150
seq3257,A_only,28.0,,,13,150
seq3258,B_only,,69.0,,0,150
seq3259,no_motif,,,,15,150
seq3260,A_only,76.0,,,0,150
seq3261,no_motif,,,,15,150
seq3262,A_only,49.0,,,0,150
seq3263,no_motif,,,,15,150
seq3264,A_only,52.0,,,14,150
seq3265,B_only,,128.0,,13,150
seq3266,both,62.0,109.0,40.0,0,150
seq3267,A_only,42.0,,,14,150
seq3268,B_only,,95.0,,13,150
seq3269,B_only,,36.0,,0,150
seq3270,both,4.0,95.0,80.0,9,150
seq3271,both,36.0,54.0,10.0,12,150
seq3272,A_only,75.0,,,13,150
seq3273,A_only,8.0,,,14,150
seq3274,B_only,,134.0,,14,150
seq3275,B_only,,10.0,,14,150
seq3276,A_only,99.0,,,13,150
seq3277,both,10.0,107.0,90.0,0,150
seq3278,A_only,129.0,,,13,150
seq3279,no_motif,,,,15,150
seq3280,no_motif,,,,15,150
seq3281,B_only,,20.0,,0,150
seq3282,both,24.0,73.0,40.0,11,150
seq3283,A_only,96.0,,,0,150
seq3284,no_motif,,,,15,150
seq3285,both,38.0,125.0,80.0,0,150
seq3286,both,77.0,139.0,50.0,13,150
seq3287,B_only,,69.0,,13,150
seq3288,both,52.0,100.0,40.0,10,150
seq3289,both,0.0,79.0,70.0,8,150
seq3290,both,82.0,143.0,50.0,12,150
seq3291,B_only,,93.0,,0,150
seq3292,no_motif,,,,15,150
seq3293,B_only,,61.0,,14,150
seq3294,both,20.0,134.0,100.0,10,150
seq3295,both,92.0,140.0,40.0,11,150
seq3296,both,17.0,124.0,100.0,0,150
seq3297,A_only,4.0,,,14,150
seq3298,A_only,72.0,,,14,150
seq3299,A_only,111.0,,,0,150
seq3300,B_only,,54.0,,13,150
seq3301,both,69.0,98.0,20.0,12,150
seq3302,both,44.0,101.0,50.0,0,150
seq3303,B_only,,139.0,,14,150
seq3304,B_only,,30.0,,0,150
seq3305,both,26.0,114.0,80.0,5,150
seq3306,A_only,81.0,,,14,150
seq3307,no_motif,,,,15,150
seq3308,no_motif,,,,15,150
seq3309,A_only,40.0,,,14,150
seq3310,A_only,4.0,,,14,150
seq3311,both,23.0,128.0,90.0,11,150
seq3312,A_only,137.0,,,14,150
seq3313,both,28.0,142.0,100.0,10,150
seq3314,both,8.0,102.0,80.0,12,150
seq3315,both,38.0,85.0,40.0,0,150
seq3316,both,103.0,140.0,30.0,0,150
seq3317,B_only,,81.0,,14,150
seq3318,B_only,,94.0,,13,150
seq3319,no_motif,,,,15,150
seq3320,no_motif,,,,0,150
seq3321,both,18.0,126.0,100.0,3,150
seq3322,B_only,,23.0,,14,150
seq3323,B_only,,36.0,,13,150
seq3324,both,92.0,130.0,30.0,11,150
seq3325,both,18.0,75.0,50.0,0,150
seq3326,B_only,,55.0,,0,150
seq3327,B_only,,77.0,,13,150
seq3328,A_only,102.0,,,14,150
seq3329,A_only,123.0,,,14,150
seq3330,no_motif,,,,15,150
seq3331,both,86.0,143.0,50.0,0,150
seq3332,both,11.0,108.0,90.0,0,150
seq3333,A_only,121.0,,,0,150
seq3334,A_only,18.0,,,13,150
seq3335,both,8.0,69.0,50.0,12,150
seq3336,B_only,,34.0,,13,150
seq3337,both,97.0,135.0,30.0,11,150
seq3338,A_only,55.0,,,0,150
seq3339,A_only,74.0,,,13,150
seq3340,B_only,,116.0,,13,150
seq3341,B_only,,131.0,,0,150
seq3342,no_motif,,,,15,150
seq3343,both,32.0,125.0,80.0,10,150
seq3344,B_only,,92.0,,0,150
seq3345,A_only,57.0,,,0,150
seq3346,both,3.0,21.0,10.0,14,150
seq3347,B_only,,115.0,,0,150
seq3348,no_motif,,,,15,150
seq3349,A_only,91.0,,,14,150
seq3350,A_only,125.0,,,13,150
seq3351,both,60.0,122.0,50.0,13,150
seq3352,both,5.0,112.0,100.0,0,150
seq3353,A_only,25.0,,,0,150
seq3354,B_only,,29.0,,13,150
seq3355,both,54.0,141.0,80.0,0,150
seq3356,A_only,57.0,,,0,150
seq3357,A_only,60.0,,,0,150
