id,position_of_motif_A,position_of_motif_B,gaplength,total_deletions_per_sequence,del_between
seq1470,33.0,112.0,70.0,8,2.0
seq1476,66.0,126.0,50.0,10,3.0
seq1478,7.0,124.0,100.0,12,10.0
seq1480,99.0,128.0,20.0,12,2.0
seq1481,1.0,91.0,80.0,9,3.0
seq1482,65.0,142.0,70.0,0,0.0
seq1484,12.0,49.0,30.0,0,0.0
seq1488,6.0,24.0,10.0,13,1.0
seq1492,7.0,118.0,100.0,7,4.0
seq1495,65.0,83.0,10.0,13,1.0
seq1496,31.0,135.0,90.0,11,7.0
seq1499,80.0,108.0,20.0,12,1.0
seq1500,18.0,105.0,80.0,0,0.0
seq1505,37.0,119.0,70.0,10,5.0
seq1508,27.0,95.0,60.0,7,1.0
seq1509,39.0,86.0,40.0,0,0.0
seq1511,10.0,127.0,100.0,12,10.0
seq1512,82.0,130.0,40.0,10,1.0
seq1518,28.0,130.0,90.0,8,5.0
seq1520,10.0,98.0,80.0,6,1.0
seq1521,4.0,74.0,60.0,10,3.0
seq1527,50.0,130.0,70.0,9,3.0
seq1529,8.0,57.0,40.0,11,2.0
seq1533,103.0,131.0,20.0,12,1.0
seq1534,55.0,84.0,20.0,12,2.0
seq1535,23.0,120.0,90.0,0,0.0
seq1538,23.0,138.0,100.0,11,8.0
seq1545,55.0,84.0,20.0,12,2.0
seq1548,11.0,121.0,100.0,6,3.0
seq1553,5.0,99.0,80.0,12,7.0
seq1554,111.0,129.0,10.0,13,1.0
seq1556,6.0,79.0,60.0,13,6.0
seq1560,16.0,85.0,60.0,8,2.0
seq1562,12.0,61.0,40.0,11,2.0
seq1564,30.0,124.0,80.0,11,7.0
seq1567,39.0,137.0,90.0,5,1.0
seq1569,32.0,94.0,50.0,12,5.0
seq1571,28.0,141.0,100.0,9,6.0
seq1573,4.0,44.0,30.0,13,3.0
seq1575,27.0,128.0,90.0,7,4.0
seq1576,75.0,143.0,60.0,8,1.0
seq1578,71.0,142.0,60.0,12,4.0
seq1582,35.0,74.0,30.0,11,2.0
seq1585,10.0,49.0,30.0,12,2.0
seq1586,14.0,83.0,60.0,9,2.0
seq1587,37.0,86.0,40.0,10,2.0
seq1588,27.0,55.0,20.0,11,1.0
seq1591,4.0,101.0,90.0,0,0.0
seq1598,1.0,95.0,80.0,12,7.0
seq1600,0.0,62.0,50.0,13,5.0
seq1601,37.0,129.0,80.0,9,5.0
seq1602,31.0,115.0,70.0,12,7.0
seq1604,57.0,108.0,40.0,12,4.0
seq1605,29.0,117.0,80.0,5,1.0
seq1607,9.0,27.0,10.0,13,1.0
seq1611,13.0,124.0,100.0,6,4.0
seq1612,35.0,136.0,90.0,8,4.0
seq1613,11.0,112.0,90.0,8,4.0
seq1614,49.0,96.0,40.0,0,0.0
seq1618,10.0,87.0,70.0,0,0.0
seq1619,0.0,47.0,40.0,0,0.0
seq1625,23.0,116.0,80.0,10,6.0
seq1626,71.0,140.0,60.0,10,2.0
seq1629,92.0,121.0,20.0,13,2.0
seq1630,6.0,24.0,10.0,13,1.0
seq1634,62.0,99.0,30.0,0,0.0
seq1638,84.0,113.0,20.0,13,2.0
seq1639,47.0,65.0,10.0,12,1.0
seq1646,31.0,137.0,90.0,13,9.0
seq1649,34.0,111.0,70.0,0,0.0
seq1650,25.0,137.0,100.0,8,5.0
seq1651,31.0,90.0,50.0,10,2.0
seq1652,18.0,57.0,30.0,11,2.0
seq1655,48.0,137.0,80.0,7,2.0
seq1656,15.0,122.0,100.0,0,0.0
seq1657,18.0,119.0,90.0,7,4.0
seq1658,21.0,39.0,10.0,13,1.0
seq1665,88.0,115.0,20.0,0,0.0
seq1666,6.0,107.0,90.0,8,4.0
seq1668,1.0,112.0,100.0,8,4.0
seq1671,20.0,130.0,100.0,6,3.0
seq1673,80.0,98.0,10.0,13,1.0
seq1674,49.0,118.0,60.0,8,2.0
seq1680,28.0,105.0,70.0,0,0.0
seq1685,10.0,80.0,60.0,10,3.0
seq1687,34.0,105.0,60.0,10,4.0
seq1688,12.0,39.0,20.0,0,0.0
seq1689,47.0,117.0,60.0,9,3.0
seq1691,89.0,118.0,20.0,12,2.0
seq1697,102.0,129.0,20.0,0,0.0
seq1698,63.0,124.0,50.0,11,4.0
seq1700,10.0,67.0,50.0,0,0.0
seq1701,60.0,97.0,30.0,0,0.0
seq1702,64.0,92.0,20.0,12,1.0
seq1705,29.0,87.0,50.0,8,1.0
seq1708,14.0,114.0,90.0,6,3.0
seq1709,40.0,133.0,80.0,11,6.0
seq1710,71.0,111.0,30.0,13,3.0
seq1711,58.0,142.0,70.0,13,7.0
seq1718,44.0,112.0,60.0,8,1.0
seq1722,16.0,95.0,70.0,7,2.0
seq1729,25.0,64.0,30.0,11,2.0
seq1731,16.0,131.0,100.0,10,8.0
seq1733,17.0,127.0,100.0,5,3.0
seq1734,22.0,123.0,90.0,8,4.0
seq1735,7.0,69.0,50.0,13,5.0
seq1739,69.0,97.0,20.0,11,1.0
seq1740,100.0,127.0,20.0,0,0.0
seq1742,107.0,136.0,20.0,13,2.0
seq1744,9.0,116.0,100.0,0,0.0
seq1752,13.0,100.0,80.0,0,0.0
seq1753,24.0,105.0,70.0,9,4.0
seq1755,44.0,113.0,60.0,9,2.0
seq1763,103.0,131.0,20.0,12,1.0
seq1764,73.0,111.0,30.0,11,1.0
seq1766,100.0,128.0,20.0,12,1.0
seq1768,16.0,113.0,90.0,0,0.0
seq1769,7.0,122.0,100.0,11,8.0
seq1773,53.0,115.0,50.0,12,5.0
seq1774,58.0,86.0,20.0,11,1.0
seq1775,51.0,124.0,60.0,12,6.0
seq1776,17.0,132.0,100.0,10,8.0
seq1777,114.0,142.0,20.0,13,1.0
seq1780,11.0,68.0,50.0,0,0.0
seq1785,32.0,104.0,60.0,11,5.0
seq1787,0.0,105.0,90.0,11,8.0
seq1793,18.0,123.0,90.0,11,8.0
seq1796,10.0,125.0,100.0,10,8.0
seq1797,17.0,133.0,100.0,11,9.0
seq1798,30.0,58.0,20.0,12,1.0
seq1799,33.0,91.0,50.0,9,1.0
seq1800,24.0,101.0,70.0,0,0.0
seq1801,66.0,117.0,40.0,12,4.0
seq1806,1.0,85.0,70.0,13,7.0
seq1807,11.0,94.0,70.0,11,6.0
seq1808,66.0,104.0,30.0,10,1.0
seq1811,38.0,130.0,80.0,9,5.0
seq1812,20.0,137.0,100.0,13,10.0
seq1817,13.0,31.0,10.0,13,1.0
seq1818,56.0,74.0,10.0,12,1.0
seq1821,6.0,44.0,30.0,11,1.0
seq1825,24.0,93.0,60.0,9,2.0
seq1826,57.0,130.0,60.0,12,6.0
seq1828,18.0,134.0,100.0,11,9.0
seq1829,70.0,143.0,60.0,13,6.0
seq1830,87.0,105.0,10.0,12,1.0
seq1831,9.0,89.0,70.0,9,3.0
seq1834,74.0,134.0,50.0,11,3.0
seq1836,31.0,98.0,60.0,0,0.0
seq1838,35.0,127.0,80.0,9,5.0
seq1843,41.0,112.0,60.0,11,4.0
seq1847,26.0,130.0,90.0,10,7.0
seq1849,47.0,136.0,80.0,7,2.0
seq1850,4.0,22.0,10.0,14,1.0
seq1851,53.0,134.0,70.0,10,4.0
seq1853,55.0,72.0,10.0,0,0.0
seq1856,104.0,132.0,20.0,12,1.0
seq1859,36.0,143.0,100.0,0,0.0
seq1860,44.0,128.0,70.0,12,7.0
seq1863,26.0,139.0,100.0,9,6.0
seq1867,13.0,107.0,80.0,11,7.0
seq1871,15.0,84.0,60.0,8,2.0
seq1876,26.0,98.0,60.0,11,5.0
seq1877,64.0,134.0,60.0,10,3.0
seq1878,55.0,128.0,60.0,12,6.0
seq1879,85.0,135.0,40.0,12,3.0
seq1881,60.0,88.0,20.0,12,1.0
seq1889,4.0,81.0,70.0,0,0.0
seq1890,89.0,139.0,40.0,12,3.0
seq1892,10.0,112.0,90.0,9,5.0
seq1893,45.0,63.0,10.0,13,1.0
seq1896,61.0,99.0,30.0,11,1.0
seq1901,18.0,75.0,50.0,0,0.0
seq1903,40.0,101.0,50.0,12,4.0
seq1904,23.0,112.0,80.0,7,2.0
seq1908,57.0,74.0,10.0,0,0.0
seq1910,40.0,120.0,70.0,9,3.0
seq1913,48.0,135.0,80.0,0,0.0
seq1919,5.0,112.0,100.0,0,0.0
seq1922,91.0,128.0,30.0,0,0.0
seq1929,54.0,114.0,50.0,10,3.0
seq1933,27.0,125.0,90.0,4,1.0
seq1934,30.0,134.0,90.0,11,7.0
seq1935,32.0,112.0,70.0,9,3.0
seq1936,71.0,120.0,40.0,11,2.0
seq1937,3.0,107.0,90.0,11,7.0
seq1938,106.0,123.0,10.0,0,0.0
seq1940,13.0,70.0,50.0,0,0.0
seq1943,56.0,136.0,70.0,9,3.0
seq1944,109.0,127.0,10.0,12,1.0
seq1945,110.0,128.0,10.0,13,1.0
seq1946,20.0,92.0,60.0,12,5.0
seq1948,48.0,136.0,80.0,6,1.0
seq1951,16.0,100.0,70.0,12,7.0
seq1958,91.0,130.0,30.0,12,2.0
seq1962,18.0,115.0,90.0,0,0.0
seq1964,13.0,31.0,10.0,13,1.0
seq1966,79.0,107.0,20.0,11,1.0
seq1968,96.0,134.0,30.0,11,1.0
seq1970,20.0,126.0,90.0,12,9.0
seq1979,1.0,30.0,20.0,14,2.0
seq1980,14.0,63.0,40.0,11,2.0
seq1982,20.0,123.0,90.0,10,6.0
seq1987,56.0,133.0,70.0,0,0.0
seq1989,33.0,102.0,60.0,9,2.0
seq1991,36.0,76.0,30.0,12,3.0
seq1992,60.0,137.0,70.0,0,0.0
seq1993,22.0,92.0,60.0,10,3.0
seq1994,5.0,45.0,30.0,13,3.0
seq1997,31.0,98.0,60.0,0,0.0
seq2002,6.0,122.0,100.0,12,9.0
seq2003,99.0,136.0,30.0,0,0.0
seq2006,40.0,88.0,40.0,10,1.0
seq2008,4.0,109.0,90.0,12,8.0
seq2009,13.0,120.0,100.0,0,0.0
seq2012,63.0,90.0,20.0,0,0.0
seq2016,44.0,111.0,60.0,0,0.0
seq2022,81.0,110.0,20.0,13,2.0
seq2023,52.0,141.0,80.0,8,2.0
seq2025,1.0,39.0,30.0,12,1.0
seq2026,23.0,61.0,30.0,11,1.0
seq2027,4.0,108.0,90.0,11,7.0
seq2030,33.0,127.0,80.0,11,7.0
seq2031,30.0,101.0,60.0,11,4.0
seq2032,77.0,126.0,40.0,10,2.0
seq2033,30.0,47.0,10.0,0,0.0
seq2034,19.0,118.0,90.0,5,2.0
seq2035,15.0,108.0,80.0,10,6.0
seq2037,39.0,88.0,40.0,10,2.0
seq2038,48.0,142.0,80.0,12,7.0
seq2039,82.0,131.0,40.0,11,2.0
seq2044,75.0,104.0,20.0,12,2.0
seq2047,100.0,118.0,10.0,13,1.0
seq2049,20.0,135.0,100.0,11,8.0
seq2050,14.0,81.0,60.0,0,0.0
seq2052,41.0,59.0,10.0,13,1.0
seq2055,1.0,40.0,30.0,13,2.0
seq2056,30.0,111.0,70.0,10,4.0
seq2058,27.0,127.0,90.0,6,3.0
seq2059,34.0,52.0,10.0,13,1.0
seq2061,23.0,131.0,100.0,4,1.0
seq2062,59.0,106.0,40.0,0,0.0
seq2063,3.0,42.0,30.0,13,2.0
seq2067,96.0,114.0,10.0,12,1.0
seq2071,97.0,114.0,10.0,0,0.0
seq2072,114.0,132.0,10.0,13,1.0
seq2074,25.0,53.0,20.0,12,1.0
seq2080,29.0,142.0,100.0,9,6.0
seq2083,10.0,92.0,70.0,11,5.0
seq2085,27.0,133.0,90.0,12,9.0
seq2092,48.0,99.0,40.0,12,4.0
seq2095,14.0,119.0,90.0,11,8.0
seq2101,78.0,118.0,30.0,12,3.0
seq2102,13.0,123.0,100.0,6,3.0
seq2103,21.0,136.0,100.0,11,8.0
seq2104,31.0,138.0,100.0,0,0.0
seq2105,54.0,123.0,60.0,9,2.0
seq2107,99.0,127.0,20.0,11,1.0
seq2109,4.0,41.0,30.0,0,0.0
seq2112,66.0,84.0,10.0,12,1.0
seq2118,64.0,125.0,50.0,11,4.0
seq2122,8.0,121.0,100.0,9,6.0
seq2124,35.0,142.0,100.0,0,0.0
seq2131,5.0,86.0,70.0,10,4.0
seq2132,43.0,140.0,90.0,0,0.0
seq2133,89.0,129.0,30.0,12,3.0
seq2134,2.0,109.0,100.0,0,0.0
seq2135,28.0,128.0,90.0,6,3.0
seq2136,25.0,124.0,90.0,5,2.0
seq2141,20.0,102.0,70.0,11,5.0
seq2143,63.0,90.0,20.0,0,0.0
seq2149,104.0,132.0,20.0,12,1.0
seq2152,69.0,87.0,10.0,12,1.0
seq2153,45.0,140.0,80.0,13,8.0
seq2154,37.0,121.0,70.0,12,7.0
seq2158,76.0,135.0,50.0,10,2.0
seq2159,65.0,132.0,60.0,0,0.0
seq2163,28.0,139.0,100.0,7,4.0
seq2165,54.0,136.0,70.0,11,5.0
seq2166,91.0,131.0,30.0,13,3.0
seq2168,31.0,133.0,90.0,9,5.0
seq2171,5.0,22.0,10.0,0,0.0
seq2181,95.0,143.0,40.0,10,1.0
seq2183,59.0,110.0,40.0,12,4.0
seq2187,12.0,80.0,60.0,8,1.0
seq2188,57.0,125.0,60.0,7,1.0
seq2190,12.0,125.0,100.0,8,6.0
seq2192,58.0,106.0,40.0,9,1.0
seq2196,46.0,118.0,60.0,11,5.0
seq2197,7.0,89.0,70.0,11,5.0
seq2199,124.0,142.0,10.0,14,1.0
seq2202,38.0,119.0,70.0,9,4.0
seq2203,24.0,102.0,70.0,7,1.0
seq2206,19.0,57.0,30.0,10,1.0
seq2207,34.0,51.0,10.0,0,0.0
seq2211,60.0,78.0,10.0,13,1.0
seq2215,73.0,122.0,40.0,11,2.0
seq2216,43.0,101.0,50.0,9,1.0
seq2220,67.0,138.0,60.0,11,4.0
seq2221,39.0,68.0,20.0,12,2.0
seq2225,27.0,135.0,100.0,4,1.0
seq2227,26.0,93.0,60.0,0,0.0
seq2230,14.0,128.0,100.0,9,7.0
seq2239,39.0,117.0,70.0,6,1.0
seq2244,2.0,94.0,80.0,10,5.0
seq2248,78.0,136.0,50.0,9,1.0
seq2250,52.0,136.0,70.0,13,7.0
seq2251,39.0,120.0,70.0,9,4.0
seq2252,66.0,95.0,20.0,12,2.0
seq2255,56.0,113.0,50.0,0,0.0
seq2256,15.0,53.0,30.0,11,1.0
seq2258,118.0,136.0,10.0,13,1.0
seq2259,24.0,133.0,100.0,5,2.0
seq2261,11.0,39.0,20.0,12,1.0
seq2263,33.0,139.0,90.0,13,9.0
seq2265,97.0,135.0,30.0,11,1.0
seq2267,15.0,32.0,10.0,0,0.0
seq2270,1.0,106.0,90.0,12,8.0
seq2274,80.0,117.0,30.0,0,0.0
seq2277,58.0,86.0,20.0,11,1.0
seq2278,19.0,76.0,50.0,0,0.0
seq2281,93.0,130.0,30.0,0,0.0
seq2282,23.0,84.0,50.0,11,4.0
seq2285,57.0,84.0,20.0,0,0.0
seq2287,51.0,118.0,60.0,0,0.0
seq2289,32.0,139.0,100.0,0,0.0
seq2293,9.0,77.0,60.0,8,1.0
seq2294,92.0,120.0,20.0,12,1.0
seq2296,46.0,93.0,40.0,0,0.0
seq2299,37.0,135.0,90.0,5,1.0
seq2303,20.0,58.0,30.0,11,1.0
seq2304,30.0,91.0,50.0,12,4.0
seq2305,8.0,65.0,50.0,0,0.0
seq2307,42.0,109.0,60.0,0,0.0
seq2310,34.0,72.0,30.0,11,1.0
seq2314,20.0,90.0,60.0,10,3.0
seq2315,0.0,37.0,30.0,0,0.0
seq2316,74.0,114.0,30.0,12,3.0
seq2317,22.0,113.0,80.0,9,4.0
seq2318,114.0,132.0,10.0,13,1.0
seq2323,3.0,107.0,90.0,11,7.0
seq2326,18.0,130.0,100.0,7,5.0
seq2327,13.0,95.0,70.0,10,5.0
seq2329,35.0,102.0,60.0,0,0.0
seq2330,41.0,111.0,60.0,10,3.0
seq2331,13.0,86.0,60.0,12,6.0
seq2337,75.0,132.0,50.0,0,0.0
seq2340,56.0,94.0,30.0,10,1.0
seq2344,73.0,112.0,30.0,12,2.0
seq2348,7.0,80.0,60.0,13,6.0
seq2349,106.0,124.0,10.0,12,1.0
seq2356,3.0,53.0,40.0,13,3.0
seq2357,16.0,34.0,10.0,12,1.0
seq2358,21.0,88.0,60.0,0,0.0
seq2363,44.0,104.0,50.0,10,3.0
seq2366,40.0,68.0,20.0,12,1.0
seq2371,37.0,76.0,30.0,11,2.0
seq2378,14.0,81.0,60.0,0,0.0
seq2380,19.0,119.0,90.0,6,3.0
seq2381,17.0,57.0,30.0,12,3.0
seq2382,14.0,32.0,10.0,13,1.0
seq2385,24.0,136.0,100.0,8,5.0
seq2386,69.0,108.0,30.0,11,2.0
seq2390,12.0,109.0,90.0,0,0.0
seq2392,1.0,116.0,100.0,11,8.0
seq2395,26.0,64.0,30.0,10,1.0
seq2398,10.0,107.0,90.0,0,0.0
seq2400,40.0,137.0,90.0,0,0.0
seq2404,86.0,114.0,20.0,11,1.0
seq2405,23.0,52.0,20.0,13,2.0
seq2409,0.0,29.0,20.0,13,2.0
seq2411,10.0,70.0,50.0,11,3.0
seq2412,4.0,95.0,80.0,9,4.0
seq2415,103.0,130.0,20.0,0,0.0
seq2416,94.0,122.0,20.0,12,1.0
seq2417,15.0,44.0,20.0,12,2.0
seq2420,0.0,103.0,90.0,10,6.0
seq2430,14.0,114.0,90.0,6,3.0
seq2431,5.0,103.0,90.0,6,1.0
seq2433,33.0,134.0,90.0,8,4.0
seq2436,47.0,140.0,80.0,11,6.0
seq2437,48.0,132.0,70.0,12,7.0
seq2440,12.0,106.0,80.0,11,7.0
seq2443,90.0,140.0,40.0,13,3.0
seq2445,19.0,110.0,80.0,8,4.0
seq2446,4.0,119.0,100.0,11,8.0
seq2447,13.0,94.0,70.0,9,4.0
seq2448,1.0,81.0,70.0,10,3.0
seq2452,10.0,114.0,90.0,10,7.0
seq2454,8.0,122.0,100.0,10,7.0
seq2455,15.0,124.0,100.0,4,2.0
seq2460,62.0,121.0,50.0,10,2.0
seq2463,14.0,98.0,70.0,12,7.0
seq2471,19.0,111.0,80.0,9,5.0
seq2472,58.0,125.0,60.0,0,0.0
seq2474,23.0,60.0,30.0,0,0.0
seq2475,86.0,115.0,20.0,12,2.0
seq2476,39.0,97.0,50.0,8,1.0
seq2478,61.0,108.0,40.0,0,0.0
seq2481,0.0,38.0,30.0,11,1.0
seq2485,43.0,116.0,60.0,12,6.0
seq2489,24.0,103.0,70.0,8,2.0
seq2490,11.0,125.0,100.0,9,7.0
seq2493,22.0,93.0,60.0,11,4.0
seq2499,31.0,139.0,100.0,5,1.0
seq2500,20.0,128.0,100.0,4,1.0
seq2502,32.0,49.0,10.0,0,0.0
seq2503,17.0,75.0,50.0,8,1.0
seq2505,87.0,127.0,30.0,12,3.0
seq2506,89.0,136.0,40.0,0,0.0
seq2508,41.0,130.0,80.0,7,2.0
seq2510,60.0,130.0,60.0,10,3.0
seq2514,100.0,117.0,10.0,0,0.0
seq2518,61.0,99.0,30.0,11,1.0
seq2519,16.0,133.0,100.0,12,10.0
seq2529,10.0,48.0,30.0,11,1.0
seq2533,68.0,138.0,60.0,10,3.0
seq2540,2.0,59.0,50.0,0,0.0
seq2542,67.0,137.0,60.0,10,3.0
seq2544,53.0,142.0,80.0,8,2.0
seq2545,14.0,32.0,10.0,13,1.0
seq2551,36.0,123.0,80.0,0,0.0
seq2553,15.0,72.0,50.0,0,0.0
seq2554,40.0,89.0,40.0,11,2.0
seq2555,20.0,127.0,100.0,0,0.0
seq2556,12.0,30.0,10.0,13,1.0
seq2558,26.0,133.0,100.0,0,0.0
seq2560,37.0,54.0,10.0,0,0.0
seq2561,18.0,106.0,80.0,5,1.0
seq2562,13.0,74.0,50.0,11,4.0
seq2564,40.0,80.0,30.0,13,3.0
seq2567,11.0,84.0,60.0,12,6.0
seq2570,19.0,129.0,100.0,5,3.0
seq2574,49.0,141.0,80.0,10,5.0
seq2576,32.0,140.0,100.0,5,1.0
seq2578,31.0,138.0,100.0,0,0.0
seq2579,84.0,111.0,20.0,0,0.0
seq2580,42.0,60.0,10.0,13,1.0
seq2584,49.0,67.0,10.0,12,1.0
seq2585,2.0,82.0,70.0,10,3.0
seq2588,40.0,68.0,20.0,12,1.0
seq2591,25.0,65.0,30.0,12,3.0
seq2595,35.0,129.0,80.0,11,7.0
seq2597,20.0,107.0,80.0,0,0.0
seq2598,33.0,104.0,60.0,10,4.0
seq2600,38.0,142.0,90.0,11,7.0
seq2601,30.0,130.0,90.0,7,3.0
seq2604,110.0,127.0,10.0,0,0.0
seq2606,36.0,127.0,80.0,8,4.0
seq2612,24.0,111.0,80.0,0,0.0
seq2614,64.0,111.0,40.0,0,0.0
seq2617,54.0,126.0,60.0,11,5.0
seq2618,63.0,143.0,70.0,9,3.0
seq2619,95.0,134.0,30.0,12,2.0
seq2624,0.0,18.0,10.0,13,1.0
seq2627,60.0,99.0,30.0,12,2.0
seq2628,13.0,31.0,10.0,13,1.0
seq2629,83.0,110.0,20.0,0,0.0
seq2631,38.0,138.0,90.0,7,3.0
seq2632,25.0,107.0,70.0,10,5.0
seq2634,7.0,67.0,50.0,11,3.0
seq2636,16.0,118.0,90.0,8,5.0
seq2637,56.0,105.0,40.0,10,2.0
seq2639,27.0,111.0,70.0,12,7.0
seq2640,4.0,81.0,70.0,0,0.0
seq2643,17.0,116.0,90.0,5,2.0
seq2645,5.0,112.0,100.0,0,0.0
seq2649,5.0,120.0,100.0,11,8.0
seq2651,3.0,30.0,20.0,0,0.0
seq2657,30.0,68.0,30.0,11,1.0
seq2658,25.0,106.0,70.0,9,4.0
seq2662,26.0,103.0,70.0,0,0.0
seq2669,16.0,67.0,40.0,12,4.0
seq2670,98.0,136.0,30.0,11,1.0
seq2671,35.0,122.0,80.0,0,0.0
seq2675,0.0,27.0,20.0,0,0.0
seq2678,21.0,136.0,100.0,11,8.0
seq2681,30.0,114.0,70.0,12,7.0
seq2684,27.0,110.0,70.0,11,6.0
seq2689,75.0,122.0,40.0,0,0.0
seq2690,20.0,89.0,60.0,9,2.0
seq2694,49.0,116.0,60.0,0,0.0
seq2695,40.0,138.0,90.0,6,1.0
seq2698,32.0,113.0,70.0,10,4.0
seq2701,9.0,26.0,10.0,0,0.0
seq2703,11.0,108.0,90.0,0,0.0
seq2704,41.0,138.0,90.0,0,0.0
seq2706,14.0,115.0,90.0,7,4.0
seq2707,16.0,97.0,70.0,9,4.0
seq2709,86.0,125.0,30.0,11,2.0
seq2710,41.0,101.0,50.0,11,3.0
seq2711,113.0,142.0,20.0,14,2.0
seq2713,49.0,99.0,40.0,11,3.0
seq2714,45.0,136.0,80.0,9,4.0
seq2716,63.0,124.0,50.0,11,4.0
seq2717,103.0,121.0,10.0,13,1.0
seq2718,8.0,47.0,30.0,12,2.0
seq2724,17.0,94.0,70.0,0,0.0
seq2728,37.0,86.0,40.0,10,2.0
seq2730,81.0,118.0,30.0,0,0.0
seq2732,17.0,54.0,30.0,0,0.0
seq2733,61.0,133.0,60.0,12,5.0
seq2734,26.0,63.0,30.0,0,0.0
seq2736,7.0,36.0,20.0,13,2.0
seq2741,92.0,110.0,10.0,13,1.0
seq2742,51.0,130.0,70.0,8,2.0
seq2744,7.0,90.0,70.0,12,6.0
seq2747,89.0,139.0,40.0,12,3.0
seq2751,62.0,139.0,70.0,0,0.0
seq2752,19.0,128.0,100.0,4,2.0
seq2764,13.0,60.0,40.0,0,0.0
seq2765,22.0,61.0,30.0,12,2.0
seq2775,9.0,96.0,80.0,0,0.0
seq2779,68.0,135.0,60.0,0,0.0
seq2783,19.0,96.0,70.0,0,0.0
seq2784,95.0,124.0,20.0,12,2.0
seq2785,16.0,77.0,50.0,11,4.0
seq2788,27.0,56.0,20.0,12,2.0
seq2791,61.0,129.0,60.0,8,1.0
seq2793,28.0,142.0,100.0,10,7.0
seq2795,68.0,86.0,10.0,12,1.0
seq2796,22.0,112.0,80.0,8,3.0
seq2800,2.0,82.0,70.0,10,3.0
seq2801,32.0,60.0,20.0,12,1.0
seq2803,8.0,117.0,100.0,5,2.0
seq2805,44.0,71.0,20.0,0,0.0
seq2811,22.0,82.0,50.0,11,3.0
seq2813,109.0,137.0,20.0,12,1.0
seq2814,23.0,73.0,40.0,12,3.0
seq2815,13.0,91.0,70.0,7,1.0
seq2816,20.0,100.0,70.0,9,3.0
seq2819,55.0,132.0,70.0,0,0.0
seq2820,38.0,140.0,90.0,9,5.0
seq2823,1.0,19.0,10.0,14,1.0
seq2825,58.0,109.0,40.0,12,4.0
seq2827,46.0,103.0,50.0,0,0.0
seq2831,16.0,123.0,100.0,0,0.0
seq2832,20.0,58.0,30.0,11,1.0
seq2833,82.0,132.0,40.0,12,3.0
seq2837,84.0,102.0,10.0,13,1.0
seq2838,26.0,77.0,40.0,12,4.0
seq2839,2.0,111.0,100.0,6,2.0
seq2842,37.0,55.0,10.0,12,1.0
seq2844,16.0,93.0,70.0,0,0.0
seq2845,79.0,97.0,10.0,12,1.0
seq2847,1.0,30.0,20.0,14,2.0
seq2848,3.0,120.0,100.0,13,10.0
seq2849,24.0,42.0,10.0,13,1.0
seq2856,44.0,126.0,70.0,10,5.0
seq2858,93.0,122.0,20.0,13,2.0
seq2862,2.0,102.0,90.0,8,3.0
seq2863,3.0,87.0,70.0,13,7.0
seq2864,21.0,68.0,40.0,0,0.0
seq2866,76.0,126.0,40.0,11,3.0
seq2867,125.0,143.0,10.0,13,1.0
seq2873,67.0,140.0,60.0,13,6.0
seq2874,21.0,122.0,90.0,8,4.0
seq2876,118.0,136.0,10.0,13,1.0
seq2879,15.0,131.0,100.0,11,9.0
seq2880,23.0,126.0,90.0,9,6.0
seq2882,30.0,48.0,10.0,13,1.0
seq2884,96.0,133.0,30.0,0,0.0
seq2887,4.0,53.0,40.0,12,2.0
seq2890,23.0,101.0,70.0,7,1.0
seq2891,112.0,130.0,10.0,13,1.0
seq2892,2.0,30.0,20.0,13,1.0
seq2894,3.0,92.0,80.0,8,2.0
seq2899,12.0,30.0,10.0,13,1.0
seq2904,8.0,35.0,20.0,0,0.0
seq2917,34.0,135.0,90.0,8,4.0
seq2919,1.0,84.0,70.0,12,6.0
seq2921,72.0,123.0,40.0,13,4.0
seq2923,23.0,120.0,90.0,0,0.0
seq2931,15.0,54.0,30.0,11,2.0
seq2939,20.0,69.0,40.0,11,2.0
seq2940,29.0,143.0,100.0,9,7.0
seq2941,47.0,129.0,70.0,10,5.0
seq2945,40.0,68.0,20.0,12,1.0
seq2946,13.0,104.0,80.0,8,4.0
seq2949,9.0,96.0,80.0,0,0.0
seq2951,12.0,121.0,100.0,5,2.0
seq2953,70.0,141.0,60.0,12,4.0
seq2959,77.0,139.0,50.0,13,5.0
seq2964,52.0,134.0,70.0,11,5.0
seq2965,33.0,106.0,60.0,12,6.0
seq2968,16.0,63.0,40.0,0,0.0
seq2970,2.0,104.0,90.0,9,5.0
seq2971,10.0,38.0,20.0,12,1.0
seq2976,39.0,142.0,90.0,10,6.0
seq2977,41.0,90.0,40.0,11,2.0
seq2978,81.0,119.0,30.0,11,1.0
seq2979,23.0,132.0,100.0,5,2.0
seq2980,23.0,63.0,30.0,13,3.0
seq2983,84.0,131.0,40.0,0,0.0
seq2984,21.0,39.0,10.0,13,1.0
seq2986,1.0,84.0,70.0,12,6.0
seq2987,49.0,76.0,20.0,0,0.0
seq2990,49.0,126.0,70.0,0,0.0
seq2992,31.0,81.0,40.0,12,3.0
seq2996,16.0,121.0,90.0,11,8.0
seq3000,38.0,108.0,60.0,9,3.0
seq3003,63.0,133.0,60.0,10,3.0
seq3007,20.0,123.0,90.0,10,6.0
seq3010,44.0,116.0,60.0,11,5.0
seq3011,92.0,141.0,40.0,12,2.0
seq3016,7.0,108.0,90.0,8,4.0
